asset,n_rows,ann_return,ann_vol,max_drawdown,skew
sky_usd,366,0.016643856212964936,0.8735969965468298,-0.5670254088366442,0.38552096347628395
jito-staked-sol_usd,366,-0.346966777768939,0.8657742042777452,-0.5914221435653197,-0.025401575023391645
wrapped-solana_usd,366,-0.39090256615502894,0.8656915014213464,-0.599442123551986,-0.0007205140251393731
binance-staked-sol_usd,366,-0.3512015004223549,0.8639197994543801,-0.5895461285647545,-0.050716719935890615
solana_usd,366,-0.3915101224518731,0.8604689015600213,-0.5982407317491021,0.025145734694287297
polkadot_usd,366,-0.7755140622633474,0.8510016368221178,-0.7834088461874896,-0.7441928429215594
stellar_usd,366,-0.4530362333826061,0.849831627582024,-0.5888591320204297,0.6032423192660666
cosmos_usd,366,-0.7178083899199956,0.8335795445051434,-0.7513371105742209,-1.2416364709511172
ripple_usd,366,-0.20266711504250257,0.8260724571628676,-0.49171354138683965,0.6849356544792652
quant-network_usd,366,-0.39354285280468815,0.8230595199178455,-0.5086800494628565,0.26166471496453025
polygon-ecosystem-token_usd,366,-0.8004538912807594,0.822396063473465,-0.8041269345962799,-0.7010217055868551
ethereum-classic_usd,366,-0.5725565902282092,0.7949483087253176,-0.5987893333963243,-0.31403136525637065
litecoin_usd,366,-0.3093238874406251,0.7923400013123939,-0.4959425291318058,-0.5722696865692486
shiba-inu_usd,366,-0.6914502623471466,0.7669859194737407,-0.7121436253103567,-0.41055298309199456
wrapped-beacon-eth_usd,366,-0.14712818968463603,0.7546607363365481,-0.5985568801378952,0.11826133511335662
wrapped-steth_usd,366,-0.1446356985773709,0.7536301370349452,-0.5979344915678626,0.2046286885019458
rocket-pool-eth_usd,366,-0.14421291711491813,0.7514189115522487,-0.599001641549788,0.16853772361524377
kelp-dao-restaked-eth_usd,366,-0.14459827142165604,0.7500665596784548,-0.5983936903620121,0.18946801581647815
ethereum_usd,366,-0.16891021233935888,0.749657703793017,-0.6009484304138226,0.20535098583811756
staked-ether_usd,366,-0.16913347825154124,0.7493730471737663,-0.6012261220443165,0.19944509109886016
wrapped-eeth_usd,366,-0.14631893499976756,0.7493175528644468,-0.5981634681317536,0.18715397070399128
